event_id,station_id,phase_index,phase_time,phase_score,phase_type,phase_polarity
11_52111,A01,9600,2009-12-02T01:14:41.317870,1,P,N
11_52111,A01,10001,2009-12-02T01:14:51.343700,1,S,N
11_52111,A02W,9600,2009-12-02T01:14:42.457750,1,P,N
11_52111,A02W,10045,2009-12-02T01:14:53.596650,1,S,N
11_52111,A03,9600,2009-12-02T01:14:43.547000,1,P,N
11_52111,A03,10078,2009-12-02T01:14:55.497900,1,S,N
11_52111,A05,9600,2009-12-02T01:14:47.038000,1,P,N
11_52111,A06W,9600,2009-12-02T01:14:48.857230,1,P,N
11_52111,A08W,9600,2009-12-02T01:14:52.657130,1,P,N
11_52111,A09,9600,2009-12-02T01:14:54.415020,1,P,N
11_52111,A10W,9600,2009-12-02T01:14:56.579060,1,P,N
11_52111,A11,9600,2009-12-02T01:14:59.448910,1,P,N
11_52111,B01W,9600,2009-12-02T01:14:51.597770,1,P,N
11_52111,B01W,10357,2009-12-02T01:15:10.544410,1,S,N
11_52111,B01W,9780,2009-12-02T01:14:56.101723,1,PS,N
11_52111,B02,9600,2009-12-02T01:14:51.882000,1,P,N
11_52111,B04W,9600,2009-12-02T01:14:53.715440,1,P,N
11_52111,C01W,9600,2009-12-02T01:14:45.655450,1,P,N
11_52111,C01W,10159,2009-12-02T01:14:59.652110,1,S,N
11_52111,C03W,9600,2009-12-02T01:14:43.349880,1,P,N
11_52111,C05W,9600,2009-12-02T01:14:48.450840,1,P,N
11_52111,C06,9600,2009-12-02T01:14:47.448300,1,P,N
11_52111,C08W,9600,2009-12-02T01:14:53.085060,1,P,N
11_52111,C12,9600,2009-12-02T01:14:57.638040,1,P,N
11_52111,C13,9600,2009-12-02T01:14:54.924300,1,P,N
11_52111,EUAP,9600,2009-12-02T01:14:37.681770,1,P,N
11_52111,EUAP,9859,2009-12-02T01:14:44.171240,1,S,N
11_52111,F02W,9600,2009-12-02T01:14:40.375670,1,P,N
11_52111,F02W,9955,2009-12-02T01:14:49.257200,1,S,N
11_52111,FOA,9600,2009-12-02T01:14:58.019980,1,P,N
11_52111,FONI,9600,2009-12-02T01:14:49.465000,1,P,N
11_52111,FONI,10217,2009-12-02T01:15:04.910630,1,S,N
11_52111,NMKA,9600,2009-12-02T01:14:49.290000,1,P,N
11_52111,NMKA,10216,2009-12-02T01:15:04.693230,1,S,N
11_52111,PNGI,9600,2009-12-02T01:14:56.615000,1,P,N
11_52111,PNGI,10410,2009-12-02T01:15:16.873070,1,S,N
11_52111,S01W,9600,2009-12-02T01:14:47.538010,1,P,N
11_52111,S01W,10184,2009-12-02T01:15:02.160060,1,S,N
11_52111,TNGA,9600,2009-12-02T01:14:40.366540,1,P,N
11_52111,TNGA,9948,2009-12-02T01:14:49.089020,1,S,N
11_52113,A01,9600,2009-12-02T02:25:40.792800,1,P,N
11_52113,A02W,9600,2009-12-02T02:25:39.730050,1,P,N
11_52113,A03,9600,2009-12-02T02:25:39.344870,1,P,N
11_52113,A05,9600,2009-12-02T02:25:38.903570,1,P,N
11_52113,A06W,9600,2009-12-02T02:25:38.869800,1,P,N
11_52113,A07,9600,2009-12-02T02:25:38.919690,1,P,N
11_52113,A08W,9600,2009-12-02T02:25:39.355610,1,P,N
11_52113,A09,9600,2009-12-02T02:25:39.750000,1,P,N
11_52113,A10W,9600,2009-12-02T02:25:40.495470,1,P,N
11_52113,A11,9600,2009-12-02T02:25:41.526580,1,P,N
